1448,213000
1771,395000
966,188000
1604,258000
1827,187000
1706,192000
1852,119000
987,172500
1783,124000
2045,394617
808,217000
733,137000
1882,219500
1619,109000
1701,220000
1596,108480
1743,119000
1503,440000
1935,230000
1132,250000
1347,279500
261,86900
1202,168675
1974,118000
240,135000
1924,263550
952,315000
1052,256000
1593,123000
1114,175000
576,120500
365,166000
1050,117000
1271,275000
845,250000
767,162000
1702,215700
607,214000
71,300000
670,225000
259,139900
51,135000
198,179540
1669,143000
679,96900
332,460000
1393,299800
620,296000
1843,240000
1558,218000
1216,124000
1085,241500
939,182000
1578,135000
730,156500
426,115000
1196,180000
482,187500
617,146000
1962,207000
704,78000
2029,425000
1510,124000
1315,149000
398,376162
596,328900
462,109000
436,128000
192,196000
1472,147000
736,109500
292,170000
619,113000
650,129000
1990,316000
1993,138887
976,318000
141,215000
752,209000
2,109000
782,152000
582,212500
1920,135000
1189,125600
339,170000
1894,140000
408,40000
1255,175900
265,179200
376,143000
1106,172000
2012,250000
439,143000
271,149900
184,224900
1605,269500
244,109500
572,130000
548,114000
530,119900
445,124000
693,235128
532,167300
415,219000
273,129000
1460,328000
250,290000
413,139500
1340,139900
310,300000
1723,125200
585,160000
425,163000
1925,182900
1193,129000
1344,148000
1389,410000
1749,108000
1659,135000
1487,165000
526,415000
745,160000
1268,129250
182,153500
170,155891
588,140000
614,160000
1927,146000
1693,111000
888,195000
1299,274000
272,172785
1776,137500
721,185000
942,72000
371,219500
222,270000
1286,189500
999,157500
1621,237000
518,149000
334,160000
1013,160000
1342,281500
1080,215000
1138,177000
15,173500
707,215000
1676,123000
1830,128000
1729,174850
1786,235000
943,82375
465,410000
1463,123900
199,386250
1237,236500
1084,383000
1911,128500
1333,156000
1405,139000
757,157000
1436,301000
1450,211000
1366,141000
1094,115000
1829,245700
43,131500
274,181000
1586,161000
101,86000
1285,197000
759,189000
1641,227000
107,136000
1379,127000
497,115000
2033,162500
921,220000
787,98000
1807,279000
1137,127500
1330,189500
1163,156000
819,147000
72,159500
993,175000
1245,102000
1198,243000
1314,250000
481,163000
1456,212109
506,226000
705,118000
838,300000
2042,83000
771,204750
1313,212000
900,139000
311,190000
1864,176000
405,190000
1391,130000
1368,224900
309,187500
226,165000
1742,178000
